"tenant_id";"username";"tag_rfid";"criado";"x";"y";"z";"type";"ground_position_alias";"name";"ground_position_group_level_name";"moved_at"
VIVENSIS;fredy2;;2025-03-05 07:49:26.517 -0300;35;25;205;STOCK;"02-08";Rua 02 Lado PAR;Nivel B;2025-03-05 07:49:26.266 -0300
VIVENSIS;fredy2;;2025-03-05 07:49:58.569 -0300;39;22;1;STOCK;"02-03";Rua 02 Lado ÍMPAR;Nivel A;2025-03-05 07:49:58.445 -0300
VIVENSIS;rafael;;2025-03-05 07:51:12.025 -0300;39;22;1;STOCK;"02-03";Rua 02 Lado ÍMPAR;Nivel A;2025-03-05 07:51:12.056 -0300
VIVENSIS;rafael;;2025-03-05 07:51:12.025 -0300;9;1;-167;EXIT;LIXO1;Saída;;2025-03-05 07:51:13.056 -0300
VIVENSIS;fredy2;;2025-03-05 07:51:54.517 -0300;35;25;402;STOCK;"02-08";Rua 02 Lado PAR;Nivel F;2025-03-05 07:51:54.406 -0300
VIVENSIS;fredy2;;2025-03-05 07:51:54.766 -0300;35;25;402;STOCK;"02-08";Rua 02 Lado PAR;Nivel F;2025-03-05 07:51:54.662 -0300
VIVENSIS;fredy2;;2025-03-05 07:52:19.975 -0300;39;20;3;EXPEDITION;#AN21;EXPEDIÇÂO;NIVEL 1;2025-03-05 07:52:19.862 -0300
VIVENSIS;fredy2;;2025-03-05 07:53:34.438 -0300;35;25;596;STOCK;"02-08";Rua 02 Lado PAR;Nivel C;2025-03-05 07:53:34.331 -0300
VIVENSIS;fredy2;;2025-03-05 07:53:56.318 -0300;39;20;1;EXPEDITION;#AN21;EXPEDIÇÂO;NIVEL 1;2025-03-05 07:53:55.740 -0300
VIVENSIS;fredy2;E2801191A504006D91F487C7;2025-03-05 07:54:24.626 -0300;35;25;765;STOCK;"02-08";Rua 02 Lado PAR;Nivel D;2025-03-05 07:54:24.518 -0300
VIVENSIS;fredy2;E2801191A504006D91F487C7;2025-03-05 07:54:25.201 -0300;35;25;765;STOCK;"02-08";Rua 02 Lado PAR;Nivel D;2025-03-05 07:54:25.084 -0300
VIVENSIS;fredy2;E2801191A504006D91F487C7;2025-03-05 07:54:42.395 -0300;35;25;780;STOCK;"02-08";Rua 02 Lado PAR;Nivel D;2025-03-05 07:54:42.289 -0300
VIVENSIS;rafael;;2025-03-05 07:54:44.182 -0300;39;20;1;EXPEDITION;#AN21;EXPEDIÇÂO;NIVEL 1;2025-03-05 07:54:44.212 -0300
VIVENSIS;rafael;;2025-03-05 07:54:44.182 -0300;9;1;-168;EXIT;LIXO1;Saída;;2025-03-05 07:54:45.212 -0300
VIVENSIS;rafael;;2025-03-05 07:54:56.045 -0300;39;20;3;EXPEDITION;#AN21;EXPEDIÇÂO;NIVEL 1;2025-03-05 07:54:56.069 -0300
VIVENSIS;rafael;;2025-03-05 07:54:56.045 -0300;9;1;-169;EXIT;LIXO1;Saída;;2025-03-05 07:54:57.069 -0300
VIVENSIS;fredy2;E2801191A504006D91F487C7;2025-03-05 07:55:09.033 -0300;39;22;3;STOCK;"02-03";Rua 02 Lado ÍMPAR;Nivel A;2025-03-05 07:55:08.916 -0300
VIVENSIS;fredy2;;2025-03-05 07:55:59.855 -0300;35;26;208;STOCK;"02-10";Rua 02 Lado PAR;Nivel B;2025-03-05 07:55:59.744 -0300
VIVENSIS;fredy2;;2025-03-05 07:56:08.618 -0300;35;23;-1;STOCK;#AJ24;Rua 02 Lado PAR;;2025-03-05 07:56:08.489 -0300
VIVENSIS;fredy2;;2025-03-05 07:56:24.574 -0300;35;26;395;STOCK;"02-10";Rua 02 Lado PAR;Nivel F;2025-03-05 07:56:24.455 -0300
VIVENSIS;fredy2;;2025-03-05 07:56:43.980 -0300;35;25;3;STOCK;"02-08";Rua 02 Lado PAR;Nivel A;2025-03-05 07:56:43.862 -0300
VIVENSIS;fredy2;;2025-03-05 07:57:21.569 -0300;35;26;596;STOCK;"02-10";Rua 02 Lado PAR;Nivel C;2025-03-05 07:57:21.458 -0300
VIVENSIS;fredy2;;2025-03-05 07:57:37.965 -0300;39;22;2;STOCK;"02-03";Rua 02 Lado ÍMPAR;Nivel A;2025-03-05 07:57:37.845 -0300
VIVENSIS;fredy2;;2025-03-05 07:58:07.464 -0300;35;26;772;STOCK;"02-10";Rua 02 Lado PAR;Nivel D;2025-03-05 07:58:07.348 -0300
VIVENSIS;fredy2;;2025-03-05 07:58:41.109 -0300;35;25;0;STOCK;"02-08";Rua 02 Lado PAR;Nivel A;2025-03-05 07:58:40.987 -0300
VIVENSIS;fredy2;;2025-03-05 07:58:53.256 -0300;35;27;0;STOCK;"02-12";Rua 02 Lado PAR;Nivel A;2025-03-05 07:58:53.140 -0300
VIVENSIS;rafael;;2025-03-05 07:59:33.440 -0300;35;25;0;STOCK;"02-08";Rua 02 Lado PAR;Nivel A;2025-03-05 07:59:33.463 -0300
VIVENSIS;rafael;;2025-03-05 07:59:33.440 -0300;9;1;-170;EXIT;LIXO1;Saída;;2025-03-05 07:59:34.464 -0300
VIVENSIS;fredy2;;2025-03-05 07:59:34.578 -0300;35;25;4;STOCK;"02-08";Rua 02 Lado PAR;Nivel A;2025-03-05 07:59:34.378 -0300
VIVENSIS;rafael;;2025-03-05 07:59:49.734 -0300;39;22;2;STOCK;"02-03";Rua 02 Lado ÍMPAR;Nivel A;2025-03-05 07:59:49.760 -0300
VIVENSIS;rafael;;2025-03-05 07:59:49.734 -0300;9;1;-171;EXIT;LIXO1;Saída;;2025-03-05 07:59:50.760 -0300
VIVENSIS;rafael;;2025-03-05 08:00:07.243 -0300;9;1;-172;EXIT;LIXO1;Saída;;2025-03-05 08:00:08.282 -0300
VIVENSIS;rafael;;2025-03-05 08:00:07.243 -0300;35;25;3;STOCK;"02-08";Rua 02 Lado PAR;Nivel A;2025-03-05 08:00:07.282 -0300
VIVENSIS;fredy2;;2025-03-05 08:00:16.282 -0300;35;27;205;STOCK;"02-12";Rua 02 Lado PAR;Nivel B;2025-03-05 08:00:16.166 -0300
