"tenant_id";"crate_id";"tag_rfid";"x";"y";"z";"coordenada_quantum";"alias";"type";"name";"sku";"pack_size";"quantity";"timestamp";"timestamp_created";"state"
VIVENSIS;"966a0cc1-7670-46de-a455-9f09ee8536d1";E2801191A504006D91F531B6;29;3;0;"29-3";#AD4;DOCK;FGLT-D;NK2011;1;3;2025-03-05 11:09:30.591 -0300;2025-03-05 09:29:54.696 -0300;RECEIVED
VIVENSIS;f618cc33-26b4-4109-960d-75922d3b0a94;E2801191A504006D91F531D6;29;3;0;"29-3";#AD4;DOCK;BLANK FILLER PANEL FOR NTIO AND LT NO PRE-CABLING;NK2009;1;26;2025-03-05 11:17:59.109 -0300;2025-03-05 09:29:54.696 -0300;RECEIVED
VIVENSIS;ae4599a7-20c8-414a-8181-88643c0dd6f3;E2801191A504006D91F531E6;29;3;0;"29-3";#AD4;DOCK;BLANIK FILLER PANEL FOR NT SLOTS ONLY NO PRE-CABLING;NK2008;1;5;2025-03-05 11:21:05.186 -0300;2025-03-05 09:29:54.696 -0300;RECEIVED
VIVENSIS;"9bc9cfd4-9334-48a5-a535-0bf630a1a116";E2801191A504006D32456096;20;40;200;"20-40";"05-40";STOCK;CAIXA DE SOM PARTY SPEAKER VIBE SOUND V7 FIRE 1800W RMS PRETO;VS005;1;8;2025-03-05 11:26:52.250 -0300;2025-03-05 09:29:54.696 -0300;STORED
VIVENSIS;"9ba6ff7f-1818-4250-86e0-5883142147c2";E2801191A504006D91F531F6;60;14;70;"60-14";"21-30";STOCK;XGS-PON/GPON MPM C+ 32 DB C-TEMP;NK2014;1;8;2025-03-05 13:12:07.317 -0300;2025-03-05 09:29:54.696 -0300;STORED
VIVENSIS;"72ceccd2-2d0c-4b2d-b965-2f85ecdaed1e";E2801191A504006D91F531A6;15;22;541;"15-22";"06-04";STOCK;PLACA CONGTROLADORA FANT-F 480GBPS SEM SFPS;NK2001;1;5;2025-03-05 13:18:06.306 -0300;2025-03-05 09:29:54.696 -0300;STORED
VIVENSIS;"86fe9044-b106-4e24-9b45-8b59dec66fec";E2801191A504006D91F53196;15;24;562;"15-24";"06-08";STOCK;GPON SFP C+;NK2013;1;168;2025-03-05 13:22:01.864 -0300;2025-03-05 09:29:54.696 -0300;STORED
VIVENSIS;"6f8722e2-595c-4390-99f8-0711f080dac3";E2801191A504006D91F53186;15;24;581;"15-24";"06-08";STOCK;"7360 ISAM/LIGHTSPAN FX-8 SEHLF ETSI VARIANT 48V ONLY INCL BFAN UNIT";NK2004;1;3;2025-03-05 13:24:26.465 -0300;2025-03-05 09:29:54.696 -0300;STORED
VIVENSIS;b0ed1a3c-1ed2-4012-ac85-e01318f3eda4;E2801191A504006D91F531C6;15;26;583;"15-26";"06-12";STOCK;FWLT-C;NK2012;1;8;2025-03-05 13:42:17.413 -0300;2025-03-05 09:29:54.696 -0300;STORED
VIVENSIS;"37b9c13d-10bd-4981-b0c2-bd3cd591210d";E2801191A503006C08A91162;19;34;775;"19-34";"06-27";STOCK;RECEPTOR SD SKY FLEX S12;"77";1;200;2025-03-06 08:48:24.978 -0300;2025-03-05 07:00:05.111 -0300;STORED
VIVENSIS;a80e0558-e8b9-4f59-ab30-d34a50b3db5a;E2801191A504006D91F57616;29;3;0;"29-3";#AD4;DOCK;DIVERSOS;"999";1;16;2025-03-06 14:49:29.369 -0300;2025-03-06 12:34:47.740 -0300;RECEIVED
VIVENSIS;bea2a123-6b2e-4050-91f8-ad7d9222bda6;E2801191A50300637ED1C2B9;24;47;590;"24-47";"05-53";STOCK;RECEPTOR DE TV VIVENSIS VX10 PR;"480";1;308;2025-03-06 16:41:23.169 -0300;2025-03-06 12:34:47.740 -0300;STORED
VIVENSIS;"262bbb3b-5ba5-4c72-b48a-2be7ca6d8cb4";E2801191A504006D91F576C6;25;46;776;"25-46";"04-52";STOCK;RECEPTOR DE TV VIVENSIS VX10 PR;"480";1;480;2025-03-06 16:50:49.954 -0300;2025-03-06 12:34:47.740 -0300;STORED
VIVENSIS;b34319f7-e5a9-424d-9506-b9227e316199;E2801191A504006D91F576B6;25;45;588;"25-45";"04-50";STOCK;RECEPTOR DE TV VIVENSIS VX10 PR;"480";1;480;2025-03-06 16:52:51.570 -0300;2025-03-06 12:34:47.740 -0300;STORED
VIVENSIS;"163f8e49-464e-4d48-9e56-64495ecb8db9";E2801191A504006D91F57666;25;45;398;"25-45";"04-50";STOCK;RECEPTOR DE TV VIVENSIS VX10 PR;"480";1;480;2025-03-06 16:54:27.852 -0300;2025-03-06 12:34:47.740 -0300;STORED
VIVENSIS;"30f0fd8e-dcd3-48d3-87ff-2a0d20cfb652";E2801191A504006D91F57646;25;46;193;"25-46";"04-52";STOCK;RECEPTOR DE TV VIVENSIS VX10 PR;"480";1;480;2025-03-06 16:55:06.642 -0300;2025-03-06 12:34:47.740 -0300;STORED
VIVENSIS;d17b3524-0934-482d-8666-117907d6b6e2;E2801191A504006D91F57676;25;45;192;"25-45";"04-50";STOCK;RECEPTOR DE TV VIVENSIS VX10 PR;"480";1;480;2025-03-06 16:55:41.934 -0300;2025-03-06 12:34:47.740 -0300;STORED
VIVENSIS;d338f3da-f57c-44b9-88f6-beb75c3348a6;E2801191A504006D91F576A6;25;44;591;"25-44";"04-48";STOCK;RECEPTOR DE TV VIVENSIS VX10 PR;"480";1;480;2025-03-06 16:56:37.531 -0300;2025-03-06 12:34:47.740 -0300;STORED
VIVENSIS;"44f53d7c-75fa-4344-8b15-8c4f224a2101";E2801191A504006D91F57696;25;44;400;"25-44";"04-48";STOCK;RECEPTOR DE TV VIVENSIS VX10 PR;"480";1;480;2025-03-06 16:57:22.200 -0300;2025-03-06 12:34:47.740 -0300;STORED
VIVENSIS;"6ba28696-87a6-43fb-96c6-42dd3fee7b2e";E2801191A504006D91F57636;25;44;706;"25-44";"04-48";STOCK;RECEPTOR DE TV VIVENSIS VX10 PR;"480";1;480;2025-03-07 08:10:30.368 -0300;2025-03-06 12:34:47.740 -0300;STORED
VIVENSIS;"65935444-0f90-466b-8c93-6233f6084109";E2801191A504006D91F57656;25;43;534;"25-43";"04-46";STOCK;RECEPTOR DE TV VIVENSIS VX10 PR;"480";1;480;2025-03-07 08:13:59.595 -0300;2025-03-06 12:34:47.740 -0300;STORED
VIVENSIS;"883c5dc2-d41d-4b1b-8b2a-39681bd2ac38";E2801191A504006D91F57686;25;43;398;"25-43";"04-46";STOCK;RECEPTOR DE TV VIVENSIS VX10 PR;"480";1;480;2025-03-07 08:15:50.153 -0300;2025-03-06 12:34:47.740 -0300;STORED
VIVENSIS;"97abe053-0f92-4681-affb-894012088973";E2801191A504006D91F576D6;70;14;300;"70-14";"21-50";STOCK;Embalagem para peças SVEC;SV001;1;178;2025-03-07 09:28:16.406 -0300;2025-03-07 07:09:31.178 -0300;STORED
VIVENSIS;f1e137d9-89d9-4911-b414-063d91d60afd;E2801191A503006C08A95602;9;1;-57;"9-1";LIXO1;EXIT;;"";1;160;2025-03-07 13:54:52.780 -0300;2025-03-05 07:00:05.111 -0300;STORED
VIVENSIS;"35e5c35e-fbc5-43ac-82bd-7e0973c38775";E2801191A504006D91F57626;25;43;206;"25-43";"04-46";STOCK;RECEPTOR DE TV VIVENSIS VX10 PR;"480";1;200;2025-03-07 15:21:31.728 -0300;2025-03-06 12:34:47.740 -0300;STORED
